,アルバムID,属性,ﾚｱ,称号,名前,+,ｺｽﾄ,アルバム攻,アルバム守,MAX攻,MAX守,MAX確認,MAX攻/ｺｽﾄ,MAX守/ｺｽﾄ,特技名,対象属性,攻守,効果,備考,重複
,1311702,Cu,R+,[ﾊﾞﾆｰｶﾞｰﾙ],太田優,+,13,3192,2976,10575,9858,×,813.5,758.3,誘惑ｷｯｽ,キュート,攻守,大アップ,,
,1311802,Cu,R+,[優しい旋律],涼宮星花,+,12,3240,2256,10733,7474,○,894.4,622.8,乙女のたしなみ,全タイプ,攻,大アップ,,
,1311902,Cu,R+,[ﾏｰﾁﾝｸﾞﾊﾞﾝﾄﾞ],横山千佳,+,13,3024,2952,10018,9779,○,770.6,752.2,ﾊﾟﾚｰﾄﾞﾁｪﾝｼﾞ!,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,大アップ,,
,1312002,Cu,R+,,有浦柑奈,+,11,2184,1680,7235,5566,×,657.7,506.0,あいのうた,ｷｭｰﾄ･ｸｰﾙ,攻,中アップ,,
,1312102,Cu,R+,[ｸｯｷﾝｸﾞﾁｬﾚﾝｼﾞ],西園寺琴歌,+,12,2424,2496,8031,8268,×,669.3,689.0,はりきりｸｯｷﾝｸﾞ,ｷｭｰﾄ･ｸｰﾙ,攻守,中アップ,,
,1312202,Cu,R+,[ｸｯｷﾝｸﾞ･ｽﾏｲﾙ],西園寺琴歌,+,12,2496,2424,8268,8031,×,689.0,669.3,はりきりｸｯｷﾝｸﾞ,ｷｭｰﾄ･ｸｰﾙ,攻守,中アップ,,
,1312302,Cu,R+,[ﾊﾛｳｨﾝﾅｲﾄ],丹羽仁美,+,12,1992,3432,6599,11369,×,549.9,947.4,ﾊﾟﾝﾌﾟｷﾝの灯火,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,守,中～大アップ,,
,1312402,Cu,R+,[ﾛﾜｲﾔﾙｽﾀｲﾙ],兵藤ﾚﾅ,+,11,2280,2088,7553,6917,×,686.6,628.8,ｾｸｼｰﾍﾞｯﾄ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,中アップ,,
,1312502,Cu,R+,[ﾃﾞﾋﾞﾘｯｼｭｺﾞｼｯｸ],間中美里,+,13,3120,3072,10336,10176,○,795.1,782.8,ｲﾀｽﾞﾗﾄｰｸ,キュート,攻守,大～特大アップ,,
,1312602,Cu,R+,[ｽﾎﾟｰﾃｨｽﾀｲﾙ],大西由里子,+,12,2472,2376,8189,7871,×,682.4,655.9,ﾕﾘﾕﾘﾊﾟﾜｰ,キュート,攻守,中アップ,,
,1312702,Cu,R+,[ｽｸｰﾙｽﾀｲﾙ],工藤忍,+,13,3552,2328,11766,7713,×,905.1,593.3,新たなお勉強,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻,大アップ,,
,1312802,Cu,R+,[ｽﾍﾟｰｽｽﾀｲﾙ],遊佐こずえ,+,11,2352,2088,7792,6917,×,708.4,628.8,ぴかぴかえがお,ｷｭｰﾄ･ｸｰﾙ,攻守,中アップ,,
,1312902,Cu,R+,[湯けむり月夜],宮本ﾌﾚﾃﾞﾘｶ,+,13,3096,3000,10257,9939,×,789.0,764.5,夜天の舞,全タイプ,攻守,中～大ダウン,,
,1313002,Cu,R+,[張り込みｽﾀｲﾙ],安斎都,+,13,3264,2304,10812,7632,×,831.7,587.1,栄養補給,全タイプ,攻,大アップ,,
,1313102,Cu,R+,[ﾏｰﾁﾝｸﾞﾊﾞﾝﾄﾞ],福山舞,+,13,3144,2880,10415,9540,×,801.2,733.8,はなまるﾚｯｽﾝ,ｷｭｰﾄ･ｸｰﾙ,攻守,大ダウン,,
,1313202,Cu,R+,[2ndｱﾆﾊﾞｰｻﾘｰ],島村卯月,+,12,2472,2472,8189,8189,×,682.4,682.4,ﾒﾓﾘｱﾙｽﾏｲﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,中アップ,,
,1313302,Cu,R+,[2ndｱﾆﾊﾞｰｻﾘｰ･ｽﾏｲﾙ],島村卯月,+,13,3096,2520,10257,8349,×,789.0,642.2,ﾒﾓﾘｱﾙｽﾏｲﾙ,ｷｭｰﾄ･ｸｰﾙ,攻,中アップ,,
,1313402,Cu,R+,[2ndｱﾆﾊﾞｰｻﾘｰ･ﾈｺﾐﾐ],島村卯月,+,14,2544,3792,8428,12562,×,602.0,897.3,ﾒﾓﾘｱﾙｽﾏｲﾙ,全タイプ,守,特大アップ,,
,1313502,Cu,R+,[ｸﾘｽﾏｽﾊﾟｰﾃｨｰ],白菊ほたる,+,14,3696,2712,12244,8985,×,874.6,641.8,幸せのｼﾞﾝｸﾞﾙﾍﾞﾙ,ｷｭｰﾄﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1313602,Cu,R+,[ｸﾘｽﾏｽﾊﾟｰﾃｨｰ],今井加奈,+,12,3000,2304,9939,7632,×,828.3,636.0,ｸﾘｽﾏｽｱｲﾃﾑ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻,-,小～中ｱｯﾌﾟ,
,1313702,Cu,R+,[ﾗﾌﾞ&ﾊｯﾋﾟｰ],有浦柑奈,+,12,2928,2616,9700,8667,×,808.3,722.3,あいのおくりもの,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1313802,Cu,R+,[ｽｳｨｰﾄｽﾉｰ],相原雪乃,+,14,3648,2736,12084,9064,×,863.1,647.4,雪のほほえみ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1313902,Cu,R+,[ﾆｭｰｲﾔｰｽﾀｲﾙ],池袋晶葉,+,12,2976,2304,9858,7632,×,821.5,636.0,新春ﾛﾎﾞ,全タイプ,攻,大アップ,,
,1314002,Cu,R+,[新春ｺﾚｸｼｮﾝ],道明寺歌鈴,+,13,2232,3696,7395,12244,×,568.8,941.8,開運的中!,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,守,中～大アップ,,
,1314102,Cu,R+,[ﾋﾟｭｱﾘｰｸﾞﾗｽ],浅野風香,+,14,3192,3144,10575,10415,×,755.4,743.9,ちょっとおめかし,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1314202,Cu,R+,[ﾌｧﾝｼｰｽﾊﾟｲﾘｰｱ],関裕美,+,14,3648,2640,12084,8746,×,863.1,624.7,手作りの愛情,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1314302,Cu,R+,[ﾛﾜｲﾔﾙｽﾀｲﾙ],古賀小春,+,12,3000,2232,9939,7395,○,828.3,616.3,がんばりｽﾏｲﾙ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1314402,Cu,R+,[ﾄﾞｷﾄﾞｷの体験],栗原ﾈﾈ,+,12,2952,2592,9779,8586,×,814.9,715.5,ﾄﾞｷﾄﾞｷｻﾌﾟﾗｲｽﾞ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1314502,Cu,R+,[ﾄｷﾒｷﾊﾞﾚﾝﾀｲﾝ],西園寺琴歌,+,13,3096,2928,10257,9700,×,789.0,746.2,手作りﾁｬﾚﾝｼﾞ!,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻守,大ダウン,,
,1314602,Cu,R+,[ﾄｷﾒｷﾊﾞﾚﾝﾀｲﾝ],楊菲菲,+,12,3000,2376,9939,7871,×,828.3,655.9,手作りふぇいふぇい,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,中アップ,,
,1314702,Cu,R+,[ｳｨﾝﾀｰｽﾀｲﾙ],柳清良,+,12,2256,2232,7474,7395,×,622.8,616.3,ｽﾉｰｴｯｼﾞ,キュート,攻,中アップ,,
,1314802,Cu,R+,[ﾋﾟｰﾁﾌﾞﾗｲﾄ],村松さくら,+,14,3240,3168,10733,10494,×,766.6,749.6,ｲﾁﾊﾞﾝｽﾏｲﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1314902,Cu,R+,[ひな祭り],柳瀬美由紀,+,11,1752,2712,5805,8985,×,527.7,816.8,おしゃれ成長期,ｷｭｰﾄ･ｸｰﾙ,守,中アップ,,
,1315002,Cu,R+,[ｾﾚｸﾄﾒｲﾄﾞ],月宮雅,+,14,3864,2640,12801,8746,×,914.4,624.7,せくしぃご奉仕,ｷｭｰﾄﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1315102,Cu,R+,[ﾄｰｸLIVEﾁｱｶﾞｰﾙ],大沼くるみ,+,12,3000,2376,9939,7871,×,828.3,655.9,泣き笑いﾁｱ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1315202,Cu,R+,[ﾛﾜｲﾔﾙｽﾀｲﾙNP],椎名法子,+,12,1920,2976,6360,9858,×,530.0,821.5,ﾄﾞｰﾅﾂﾙｰﾌﾟ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,守,中アップ,,
,1315302,Cu,R+,[ｸﾞﾘｯﾀｰｽﾃｰｼﾞ],有浦柑奈,+,13,2136,3768,7077,12483,×,544.4,960.2,愛と平和のゆめ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,守,中～大アップ,,
,1315402,Cu,R+,[ｳﾞｫﾔｰｼﾞｭ･ﾋｰﾗｰ],水本ゆかり,+,12,2616,2568,8667,8507,×,722.3,708.9,光歌の旋律,全タイプ,攻守,中～大アップ,,
,1315502,Cu,R+,[ｽｸｰﾙｽﾀｲﾙ],安斎都,+,14,2472,3912,8189,12959,×,584.9,925.6,推理の方程式,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,守,大アップ,,
,1315602,Cu,R+,[ﾌﾗﾜｰｶﾞｰﾃﾞﾝ],今井加奈,+,12,2352,2496,7792,8268,×,649.3,689.0,ﾅﾁｭﾗﾙﾌﾚｸﾞﾗﾝｽ,キュート,攻守,中～大アップ,,
,1315702,Cu,R+,[学園の生徒],奥山沙織,+,12,2472,2448,8189,8110,×,682.4,675.8,ｿﾞﾝﾋﾞ熱演,ｷｭｰﾄ･ｸｰﾙ,攻守,中アップ,,
,1315802,Cu,R+,[学園の生徒･H],奥山沙織,+,13,3456,2400,11448,7950,×,880.6,611.5,ｿﾞﾝﾋﾞ熱演,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻,大アップ,,
,1315902,Cu,R+,[ﾜｰｷﾝｸﾞ･おさわり],棟方愛海,+,14,3912,2616,12959,8667,×,925.6,619.1,神の指先,ｷｭｰﾄﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1316002,Cu,R+,[ﾜｰｷﾝｸﾞ･ﾏﾌｨｱ],榊原里美,+,12,3072,2304,10176,7632,×,848.0,636.0,ｸﾗｲﾑﾎﾞﾃﾞｨ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻,中アップ,,
,1316102,Cu,R+,[ﾄﾞﾗｲﾌﾞRQ],原田美世,+,14,3264,3264,10812,10812,×,772.3,772.3,ﾅｲｽﾊﾝﾄﾞﾘﾝｸﾞ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻守,大～特大アップ,,
,1316202,Cu,R+,[魔女っ娘I.C],福山舞,+,12,2640,2600,7590,7475,●,632.5,622.9,ﾁｪﾝｼﾞ･ｱｸｱ,キュート,攻守,中アップ,,
,1316302,Cu,R+,[ﾏｰﾁﾝｸﾞﾊﾞﾝﾄﾞ],古賀小春,+,14,3720,2688,12323,8904,×,880.2,636.0,ﾘﾝﾘﾝ♪ﾍﾞﾙ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1316402,Cu,R+,,乙倉悠貴,+,12,1920,2496,6360,8268,×,530.0,689.0,ﾋﾟｭｱｽﾏｲﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,守,中アップ,,
,1316502,Cu,R+,[ｶﾞﾝｽﾘﾝｶﾞｰ],一ノ瀬志希,+,12,2952,2232,9779,7395,×,814.9,616.3,ｼﾞｰﾆｱｽﾄﾘｶﾞｰ,全タイプ,攻,中～大アップ,,
,1316602,Cu,R+,[ﾊｯﾋﾟｰｳｪﾃﾞｨﾝｸﾞ],ｸﾗﾘｽ,+,13,3192,2856,10575,9461,×,813.5,727.8,祝福の日,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻守,大ダウン,,
,1316702,Cu,R+,[自慢のﾎﾞﾃﾞｨ],松原早耶,+,13,3360,2568,11130,8507,×,856.2,654.4,ﾊﾟﾜﾌﾙｱﾋﾟｰﾙ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1316802,Cu,R+,[ﾛﾜｲﾔﾙｽﾀｲﾙNP],大原みちる,+,12,2568,2616,8507,8667,×,708.9,722.3,朝ﾊﾟﾝ前ﾚｯｽﾝ,ｷｭｰﾄ･ｸｰﾙ,攻守,中アップ,,
,1316902,Cu,R+,[ﾌﾚﾝｽﾞ大作戦],桃井あずき,+,14,3288,3168,10893,10494,×,778.1,749.6,喜びのお裾分け,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1317002,Cu,R+,[ﾋﾞｰﾁｻｲﾄﾞ],兵藤ﾚﾅ,+,13,2136,3840,7077,12720,×,544.4,978.5,ｾｸｼｰｽﾌﾟﾗｯｼｭ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,守,中～大アップ,,
,1317102,Cu,R+,[ﾈｲﾋﾞｰｶﾞｰﾙ],丹羽仁美,+,14,3792,2640,12562,8746,×,897.3,624.7,敬礼っ☆,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1317202,Cu,R+,[夏休み],関裕美,+,12,2280,2784,7553,9222,×,629.4,768.5,恥ずかしﾊｰﾄ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,守,中アップ,,
,1317302,Cu,R+,[笑顔の夏休み],関裕美,+,12,2760,2688,9143,8904,×,761.9,742.0,恥ずかしﾊｰﾄ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1317402,Cu,R+,[夏休み],双葉杏,+,13,3200,2460,9200,7073,●,707.7,544.1,水着姿(有料),全タイプ,攻,大アップ,,
,1317502,Cu,R+,[笑顔の夏休み],双葉杏,+,14,3680,2700,10580,7763,●,755.7,554.5,水着姿(有料),全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1317602,Cu,R+,[ﾛｯｸI.C],涼宮星花,+,12,2960,2320,8510,6670,●,709.2,555.8,ﾍﾞｰｽﾚｯｽﾝ,キュート,攻,中アップ,,
,1317702,Cu,R+,[ﾊﾟﾗﾀﾞｲｽﾘｿﾞｰﾄ],持田亜里沙,+,14,3984,2616,13198,8667,×,942.7,619.1,なつのおうた,ｷｭｰﾄﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1317802,Cu,R+,[ﾊﾟﾗﾀﾞｲｽﾘｿﾞｰﾄ],浅野風香,+,12,3144,2280,10415,7553,×,867.9,629.4,常夏ｺｺﾅｯﾂ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,中アップ,,
,1317902,Cu,R+,[おひろめﾎﾟｰｽﾞ],赤西瑛梨華,+,14,3312,3144,10972,10415,×,783.7,743.9,ﾎﾟｰｽﾞ練習中,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1318002,Cu,R+,[大粒のﾄﾞﾛｯﾌﾟ],大沼くるみ,+,13,3408,2520,11290,8349,×,868.5,642.2,がんばるこころ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1318102,Cu,R+,[ﾒﾙﾍﾝｱﾆﾏﾙｽﾞ],乙倉悠貴,+,14,3312,3216,10972,10654,×,783.7,761.0,自然の味,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻守,大ダウン,,
,1318202,Cu,R+,[ﾌﾞｼﾄﾞｰﾅﾃﾞｼｺ],楊菲菲,+,14,3960,2616,13119,8667,×,937.1,619.1,和の心,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1318302,Cu,R+,[ﾐﾆｵﾝﾙｰｼﾞｭ],佐久間まゆ,+,14,3888,2568,12880,8507,×,920.0,607.6,紅の繋がり,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1318402,Cu,R+,[黒白微笑],柳清良,+,13,2904,2904,9621,9621,×,740.1,740.1,秘密の企み,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1318502,Cu,R+,[ﾈｸｽﾄｽﾀｰI.C],白菊ほたる,+,13,2600,3060,7475,8798,●,575.0,676.8,自分らしくの一歩,キュート,守,中アップ,,
,1318602,Cu,R+,[ｽｸｰﾙｶﾞｰﾙ],椎名法子,+,14,4032,2568,13356,8507,×,954.0,607.6,ｷﾞｬﾙﾒｲｸﾁｪﾝｼﾞ,ｷｭｰﾄﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1318702,Cu,R+,[ｽｸｰﾙｶﾞｰﾙ],間中美里,+,12,3168,2256,10494,7474,×,874.5,622.8,ﾉﾘﾉﾘ♪ｱﾋﾟｰﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻,中アップ,,
,1318802,Cu,R+,[ﾛﾜｲﾔﾙｽﾀｲﾙNP],長富蓮実,+,13,3312,2448,10972,8110,×,844.0,623.8,ｺﾞｰﾙﾃﾞﾝｽｳｨｰﾄ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1318902,Cu,R+,[ｶﾆ☆ﾋﾟｰｽ],柳瀬美由紀,+,13,3504,2568,11608,8507,×,892.9,654.4,北の贈り物,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大～特大アップ,,
,1319002,Cu,R+,[びっくりｳｨﾝｸ],井村雪菜,+,14,3264,3240,10812,10733,×,772.3,766.6,刺激のﾊｰﾄﾒｲｸ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1319102,Cu,R+,[秋色温泉],江上椿,+,13,2088,3912,6917,12959,×,532.1,996.8,湯上がりの風,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,守,中～大アップ,,
,1319202,Cu,R+,[ﾌﾜﾌﾜﾕﾘﾕﾘ],大西由里子,+,14,3912,2568,12959,8507,×,925.6,607.6,ﾌﾜﾌﾜしたｱﾚ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1319302,Cu,R+,[ｸﾘｽﾏｽﾌﾟﾚｾﾞﾝﾄ],藤本里奈,+,14,3384,3144,11211,10415,×,800.8,743.9,ﾒﾘｸﾘﾃﾞｺ☆,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻守,大ダウン,,
,1319402,Cu,R+,[ﾏｰﾁﾝｸﾞﾊﾞﾝﾄﾞ],日下部若葉,+,14,3384,3264,11211,10812,×,800.8,772.3,ﾋﾟｯﾀﾘｻｲｽﾞ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻守,大～特大アップ,,
,1319502,Cu,R+,[勇壮の槍騎士],道明寺歌鈴,+,13,2952,2856,9779,9461,×,752.2,727.8,秘技ｶﾘﾝ･ﾄﾙﾈｰﾄﾞ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1319602,Cu,R+,[新春I.C],乙倉悠貴,+,13,3200,2480,9200,7130,●,707.7,548.5,和装のときめき,キュート,攻,中アップ,,
,1319702,Cu,R+,[振袖まつり],早坂美玲,+,14,3984,2640,13198,8746,×,942.7,624.7,新春がおーｯ!,-,攻,大～特大アップ,ｷｭｰﾄのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人,
,1319802,Cu,R+,[振袖まつり],村松さくら,+,13,3312,2424,10972,8031,×,844.0,617.8,さくら色の新春,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,攻,中アップ,,
,1319902,Cu,R+,[ﾛﾜｲﾔﾙ･ｽｸｴｱ],工藤忍,+,13,3360,2400,11130,7950,○,856.2,611.5,ﾌﾚﾝｽﾞﾊﾟﾜｰ,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1320002,Cu,R+,[ｱﾀﾞﾙﾄｽﾀｲﾙ],柳清良,+,14,3264,3264,10812,10812,×,772.3,772.3,大人の癒し,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻守,大アップ,,
,1320102,Cu,R+,[ﾗｳﾞｽﾋﾟﾘｯﾂ],有浦柑奈,+,14,3912,2592,12959,8586,×,925.6,613.3,感謝の想い,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1320202,Cu,R+,[T.B.ｻｰｶｽ],赤西瑛梨華,+,13,3336,2472,11051,8189,×,850.1,629.9,ｵｰﾙｵｯｹｰ☆,全ﾀｲﾌﾟﾌﾛﾝﾄ+ﾊﾞｸﾒﾝ1人,攻,大アップ,,
,1320302,Cu,R+,[ﾊﾞﾚﾝﾀｲﾝﾃﾞﾋﾞﾙ],太田優,+,13,2112,3864,6996,12801,×,538.2,984.7,特製ﾁｮｺｱｯｷｰ,ｷｭｰﾄ･ｸｰﾙ+ﾊﾞｸﾒﾝ1人,守,大アップ,,
,1400110,Cu,SR,[普通の女の子],天海春香,,10,2320,2320,5570,5570,●,557.0,557.0,THE☆王道,全タイプ,攻守,大アップ,,
,1400201,Cu,SR,[沖縄元気っ娘],我那覇響,,14,3400,2760,8925,7245,○,637.5,517.5,南国の風,キュート,攻守,大アップ,,
,1400301,Cu,SR,[王子様な女子],菊地真,,14,3080,3080,8085,8085,○,577.5,577.5,みんなの王子様,クール,攻守,大ダウン,,
,1400401,Cu,SR,[ｾｸｼｰｷｬｯﾄ],前川みく,,14,2800,3440,7350,9030,○,525.0,645.0,ねこねこﾀﾞﾝｽ,キュート,守,大アップ,,
,1400501,Cu,SR,[秘めた輝き],原田美世,,12,2880,1920,7560,5040,○,630.0,420.0,ﾌﾙｽﾛｯﾄﾙ,全タイプ,攻,中アップ,,
,1400601,Cu,SR,[天才ﾛﾎﾞ少女],池袋晶葉,,8,1660,1540,4368,4032,●,546.0,504.0,ﾛﾎﾞ製作,全タイプ,守,中アップ,,
,1400701,Cu,SR,[艶娘大作戦],桃井あずき,,10,2100,1700,5513,4463,○,551.3,446.3,ｱｲﾄﾞﾙ大作戦,全タイプ,攻,大アップ,,
,1400801,Cu,SR,[だらだら妖精],双葉杏,,15,3600,3080,9450,8085,○,630.0,539.0,やらない,クール,守,大ダウン,,
,1401010,Cu,SR,[元気120%],高槻やよい,,10,2400,1600,6750,4550,●,675.0,455.0,家族思い,全タイプ,攻,大アップ,,
,1401101,Cu,SR,[薔薇色お姫様],櫻井桃華 ,,15,2760,3240,7245,8505,○,483.0,567.0,お姫様の背伸び,クール,攻,大ダウン,,
,1401201,Cu,SR,[桜ｶﾞｰﾙ],月宮雅,,15,2920,3160,7665,8295,○,511.0,553.0,甘え上手,全タイプ,攻守,大ダウン,,
,1401301,Cu,SR,[ふわふわｽﾏｲﾙ],三村かな子,,14,3070,3240,8033,8505,●,573.8,607.5,ありがとうの魔法,キュート,攻守,大アップ,,
,1401401,Cu,SR,[王道ｱｲﾄﾞﾙ],天海春香,,16,3600,3600,9450,9450,○,590.6,590.6,THE☆ｱｲﾄﾞﾙ,キュート,攻守,大アップ,,
,1401501,Cu,SR,[CDﾃﾞﾋﾞｭｰ],三村かな子,,7,1140,1400,2993,3675,○,427.6,525.0,ｼｮｺﾗ･ﾃｨｱﾗ,キュート,攻守,小アップ,,
,1401601,Cu,SR,[CDﾃﾞﾋﾞｭｰ],双葉杏,,7,1420,1120,3728,2940,○,532.6,420.0,あんずのうた,キュート,攻守,小アップ,,
,1401701,Cu,SR,[大器晩成],道明寺歌鈴,,15,3280,2720,8610,7140,○,574.0,476.0,せいいっぱい,パッション,守,大ダウン,,
,1401801,Cu,SR,[ﾆｭｰｼﾞｪﾈﾚｰｼｮﾝ],島村卯月,,16,3920,3280,10290,8610,○,643.1,538.1,満点ｽﾏｲﾙ,全タイプ,攻,大アップ,,
,1401901,Cu,SR,[自称･ｶﾜｲｲ],輿水幸子,,16,3360,3680,8820,9660,○,551.3,603.8,自称･溢れる輝き,キュート,攻守,大ダウン,,
,1402001,Cu,SR,[夏の夜の天女],小早川紗枝,,16,3760,3560,9870,9345,○,616.9,584.1,天女の舞,キュート,攻守,大アップ,,
,1402101,Cu,SR,[ｽﾌﾟﾗｯｼｭﾎﾞﾃﾞｨ],榊原里美,,16,3800,3400,9975,8925,○,623.4,557.8,天然ｱﾋﾟｰﾙ,キュート,攻,大アップ,,
,1402201,Cu,SR,[ｽｲｰﾄｻﾏｰ],椎名法子,,10,2240,1600,5880,4200,○,588.0,420.0,ﾄﾞｰﾅﾂﾊﾟﾜｰ,キュート,攻,大アップ,,
,1402301,Cu,SR,[はにかみ乙女],小日向美穂,,16,3680,3360,9660,8820,○,603.8,551.3,はにかみ笑顔,ｷｭｰﾄ･ｸｰﾙ,攻,大アップ,,
,1402401,Cu,SR,[CDﾃﾞﾋﾞｭｰ],前川みく,,8,1720,1200,4515,3150,○,564.4,393.8,おねだり Shall We～?,キュート,攻守,小アップ,,
,1402501,Cu,SR,[CDﾃﾞﾋﾞｭｰ],島村卯月,,8,1240,1680,3255,4410,○,406.9,551.3,S(mile)ING!,キュート,攻守,小アップ,,
,1402601,Cu,SR,[LIVEｹﾞｽﾄ],三村かな子,,10,2120,1800,5565,4725,○,556.5,472.5,魔法のﾊｰﾓﾆｰ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,中アップ,,
,1402710,Cu,SR,[ｷｭｰﾃｨｰﾌﾟﾘﾝｾｽ],菊地真,,10,1600,2400,4610,6871,●,461.0,687.1,真ﾄﾞﾘｰﾑ,全タイプ,攻,大ダウン,,
,1402801,Cu,SR,[小悪魔ﾒｲﾄﾞ],宮本ﾌﾚﾃﾞﾘｶ,,15,3560,3200,9345,8400,○,623.0,560.0,甘い誘惑,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,大アップ,,
